domain,company_name,company_linkedin,website,employees,employee_range,year_founded,company_type,industry,hq_city,hq_region,hq_country,description,campaign,sourcing_reasoning
phillipsmedisize.com,Phillips Medisize,-,https://www.phillipsmedisize.com/,2893,5001-10000,-,Privately Held,Medical Equipment Manufacturing,Hudson,Wisconsin,United States,"As a contract development and manufacturing organization (CDMO), the world’s leading pharmaceutical, medtech and in vitro diagnostic companies trust us to help them design and manufacture their products.  With our dedicated team of 6,000+ employees and 30 development and manufacturing sites across three continents, we put the patient at the center of all we do, knowing that every decision is critical to a healthcare provider and their patients somewhere in the world.  Phillips Medisize is an Aff","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (2893 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
agappe.com,Agappe Diagnostics Ltd,-,https://www.agappe.com,1247,501-1000,1994,Partnership,Medical Equipment Manufacturing,-,Georgia,United States,"Your Best Partner In Diagnostics  28 years of dedication has made us what we are today, one of the forerunners in the Indian diagnostics industry. The 2nd biggest Diagnostic Companies in India with a formidable Domestic and International presence for the entire range of Reagents and Equipment.   Our Reagent range includes Biochemistry Kits, Serology Kits, Immunoturbidimetry Kits, Specialized Kits, Coagulation Reagents, Hematology Reagents and System Reagents for Fully Automated Clinical Chemistr","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1247 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
cynosurelutronic.com,"Cynosure, LLC.",-,http://www.cynosurelutronic.com,830,501-1000,1991,Privately Held,Medical Equipment Manufacturing,Westford,Massachusetts,United States,"Cynosure Lutronic is a global leader in energy-based dermatology and medical aesthetic technologies, shaping the future of skin health. With a mission to empower people to feel confident in their skin, we deliver intelligent, results-driven solutions across laser, RF, IPL, LED, and EMS platforms.  Backed by more than three decades of innovation, and over 100,000 installed systems worldwide, we combine advanced engineering, breakthrough clinical insights, and manufacturing excellence to raise the","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (830 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
atricure.com,"AtriCure, Inc.",-,http://www.atricure.com,1370,1001-5000,2000,Public Company,Medical Equipment Manufacturing,Mason,Ohio,United States,"AtriCure, Inc. provides innovative technologies for the treatment of Afib and related conditions. Afib affects more than 37 million people worldwide.   Electrophysiologists, cardiothoracic and thoracic surgeons around the globe use AtriCure technologies for the treatment of Afib, reduction of Afib related complications and post-operative pain management. AtriCure’s Isolator® Synergy™ Ablation System is the first medical device to receive FDA approval for the treatment of persistent Afib.   AtriC","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1370 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
verathon.com,Verathon,-,http://www.verathon.com/?utm_campaign=LinkedIn,781,501-1000,1984,Public Company,Medical Equipment Manufacturing,Bothell,Washington,United States,"We believe a new perspective can change everything, and that the best health care begins with greater clarity.  For more than 40 years, Verathon has advanced patient care through innovative medical technologies that help clinicians and health care providers see clearly, act quickly, and improve outcomes. Today, we deliver innovative airway management, bronchoscopy, and urology solutions through our GlideScope®, BFlex™, and BladderScan® product portfolios.  From pioneering video laryngoscopes to ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (781 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
inspiresleep.com,Inspire Medical Systems,-,http://www.inspiresleep.com,1337,1001-5000,2007,Public Company,Medical Equipment Manufacturing,St. Louis Park,Minnesota,United States,"Inspire Medical Systems, Inc. has developed the world’s first fully implanted neurostimulation device approved by the FDA for the treatment of Obstructive Sleep Apnea (OSA). The Inspire system uses well-established neurostimulation technologies and incorporates a proprietary algorithm that stimulates key airway muscles based on a patient’s unique breathing patterns. Inspire therapy is designed to reduce OSA severity and improve quality of life for patients living with this challenging condition.","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1337 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
bvimedical.com,BVI Medical,-,http://www.bvimedical.com,1042,1001-5000,1932,Privately Held,Medical Equipment Manufacturing,Waltham,Massachusetts,United States,"At BVI, we are at the forefront of innovation in ophthalmic surgery, delivering cutting-edge solutions that enhance patient care and improve vision outcomes. With a global presence in over 90 countries, we tailor our eye care offerings to meet the unique needs of local markets, while contributing to the betterment of global eye health. Our commitment, promoting eye health through responsible practices.   We embrace change, constantly pushing boundaries and innovating to create meaningful impact ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1042 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
bioventus.com,Bioventus,-,http://www.Bioventus.com,1145,1001-5000,-,Public Company,Medical Equipment Manufacturing,Durham,North Carolina,United States,"Bioventus®Inc. (Nasdaq: BVS) develops Innovations for Active Healing and its mission is to make a difference by helping patients resume and enjoy active lives. The Company has products focused in three vertical markets:  pain treatment, restorative therapies and surgical solutions.  Established in 2012, Bioventus is headquartered in Durham, NC. The company has more than 1,200 employees worldwide and its international headquarters is in Hoofddorp, The Netherlands.   Bioventus also has offices in ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1145 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
heartflow.com,Heartflow,-,http://www.heartflow.com,841,501-1000,-,Public Company,Medical Equipment Manufacturing,San Francisco,California,United States,"Heartflow is the global leader in AI-driven coronary artery disease (CAD) management, transforming how CAD — the world’s leading cause of death — is diagnosed and treated. Our advanced technology generates personalized, precision 3D heart models from a single CT scan, providing clinicians with the clarity and confidence to deliver earlier, more effective treatments — transforming CAD into a disease that can be managed for life.   Heartflow One is the only complete, non-invasive, precision corona","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (841 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
hufriedygroup.com,HuFriedyGroup,-,http://www.hufriedygroup.com,781,1001-5000,-,Public Company,Medical Equipment Manufacturing,Chicago,Illinois,United States,"HuFriedyGroup is a global leader in dental instrument manufacturing, infection prevention and instrument reprocessing workflows. With over 200 years of collective experience in the dental industry, HuFriedyGroup helps dental professionals be the best in practice by providing a complete circle of protection in the dental suite, bringing together world class products, services, education, and communities that result in superior clinician performance, superior clinical outcomes, and safety for clin","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (781 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
envistaco.com,Envista Holdings Corporation,-,http://www.envistaco.com,2210,10001+,-,Public Company,Medical Equipment Manufacturing,Brea,California,United States,"Envista is a global family of more than 30 trusted dental brands, united by a shared purpose: to partner with professionals to improve lives. Envista helps its partners deliver the best possible patient care through industry-leading products, solutions, and technology. Our comprehensive portfolio covers a wide range of dentists' clinical needs for diagnosing, treating, and preventing dental conditions, as well as improving the aesthetics of the human smile.  Our differentiated combination of con","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (2210 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
confluentmedical.com,Confluent Medical Technologies,-,http://confluentmedical.com,1586,1001-5000,1991,Privately Held,Medical Equipment Manufacturing,Scottsdale,Arizona,United States,"Confluent Medical Technologies applies materials science to MedTech innovation. Confluent specializes in expert design, development, and large-scale manufacturing of interventional catheter-based devices and implants. Our key capabilities include Nitinol components and tubing, balloon and complex catheters, high-precision polymer tubing, and implantable textiles. We operate in 8 state-of-the-art facilities across the United States and Costa Rica and currently employ over 2,000 employees. Conflue","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1586 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
staar.com,STAAR Surgical,-,http://www.staar.com,739,501-1000,1982,Public Company,Medical Equipment Manufacturing,Lake Forest,California,United States,"STAAR, which has been dedicated solely to ophthalmic surgery for over 40 years, designs, develops, manufactures and markets implantable lenses for the eye. These lenses are intended to provide visual freedom for patients, lessening or eliminating the reliance on glasses or contact lenses. All of these lenses are foldable, which permits the surgeon to insert them through a small incision. STAAR’s lens used in refractive surgery is called an Implantable Collamer® Lens or “ICL,” which includes the ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (739 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
paragon28.com,Paragon 28,-,http://www.Paragon28.com,746,51-200,2010,Public Company,Medical Equipment Manufacturing,Englewood,Colorado,United States,"Paragon 28, a Zimmer Biomet Company, was established in 2010 as an orthopedic foot and ankle company. The name “Paragon 28” was chosen to show that we are exclusively a foot and ankle company, with the “28” representing the number of bones in the foot. We will remain true to that vision. Paragon 28 was started as a small, family-based company and we have kept those core ideals as we have grown.  Our mission is to strategically build a company around the core principles that drive innovation and ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (746 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
acumed.net,Acumed,-,http://www.acumed.net,1079,201-500,-,Privately Held,Medical Equipment Manufacturing,Hillsboro,Oregon,United States,"What started as a small family business in 1988 has since evolved into a global market leader, providing orthopaedic and medical solutions that improve patient care around the world.  Our story begins in Butler, NJ, where Mary and Randy Huebner founded Accurate Machine and Design, also known as Acumed. With only one machinist on staff, Acumed was contracted to engineer implant prototypes for some of the biggest names in the industry.  After relocating to Oregon in 1991, we launched our first lin","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1079 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
inogen.com,Inogen,-,https://provider.inogen.com,832,501-1000,-,Public Company,Medical Equipment Manufacturing,Beverly,Massachusetts,United States,"Inogen is a leading global medical technology company offering innovative respiratory products for use in the homecare setting. Inogen supports patient respiratory care by developing, manufacturing, and marketing innovative best-in-class portable oxygen concentrators used to deliver supplemental long-term oxygen therapy to patients suffering from chronic respiratory conditions.","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (832 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
ormco.com,Ormco,-,http://ormco.com/,746,1001-5000,-,Public Company,Medical Equipment Manufacturing,Brea,California,United States,"Ormco, headquartered in Brea, Calif., is a global leader and innovator of orthodontic products and solutions to enhance the lives of our customers and their patients. For over 60 years, Ormco has partnered with the orthodontic community to help create over 20 million smiles in over 140 countries. Distinguished products range from twin brackets (Symetri™ Clear, Titanium Orthos™ and Mini Diamond™) to pioneering the self-ligating appliances with the Damon™ System (including Damon™ Q2 and Damon™ Cle","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (746 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
terumocv.com,Terumo Cardiovascular,-,http://www.terumocv.com,985,1001-5000,1999,Public Company,Medical Equipment Manufacturing,Ann Arbor,Michigan,United States,"Terumo Cardiovascular manufactures and markets medical devices for cardiac and vascular surgery with an emphasis on cardiopulmonary bypass and intra-operative monitoring. The company is headquartered in Ann Arbor, Michigan, with manufacturing operations in the U.S., Europe and Asia. It is one of several subsidiaries of Terumo Corporation of Japan that is focused exclusively on cardiovascular surgery specialties.   Our parent company, Terumo Corporation, is a global leader in medical technology a","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (985 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
tactilemedical.com,Tactile Medical,-,https://www.tactilemedical.com/,1083,1001-5000,1995,Public Company,Medical Equipment Manufacturing,St. Louis Park,Minnesota,United States,"Tactile Medical is one of the fastest growing companies in medical devices. As a leader in treatment options for lymphedema and venous ulcer therapies, Tactile Medical develops advanced home therapy devices to improve health and quality of life for patients with chronic swelling . Headquartered in Minneapolis, Minnesota, we advocate for patient access and serve tens of thousands of patients through a direct national network of product specialists and trainers, reimbursement experts, patient advo","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1083 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
pattersoncompanies.com,"Patterson Companies, Inc.",-,http://www.pattersoncompanies.com/,5886,5001-10000,1877,Public Company,Medical Equipment Manufacturing,St. Paul,Minnesota,United States,"Patterson strengthens the oral and animal health markets in North America and the United Kingdom. From small, private practices to large group networks and production operations, we guide our customers with bold solutions and a personal touch. We are much more than a distributor – we are an indispensable partner.  Patterson Dental has strengthened the dental industry since our company’s founding in 1877. Today, Patterson Dental continues to partner with dental practices of all sizes to provide e","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (5886 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
vareximaging.com,Varex Imaging Corporation,-,https://www.vareximaging.com/,1341,1001-5000,2017,Public Company,Medical Equipment Manufacturing,Salt Lake City,Utah,United States,"Our Mission: Through the talent of our people and vision of customers, we help improve and save lives throughout the world by making the invisible visible.  Our Vision: To be the preferred global partner for innovative x-ray imaging solutions.  Varex Imaging Corporation is the world’s largest independent supplier of medical X-ray tubes and image processing solutions. From medical imaging to cargo screening and border security, our components are used by X-ray imaging system manufacturers everywh","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1341 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
agilitihealth.com,Agiliti,-,https://www.agilitihealth.com,3116,5001-10000,1939,Public Company,Medical Equipment Manufacturing,Eden Prairie,Minnesota,United States,"Agiliti is a company of 5,500+ passionate equipment management experts who believe every interaction has the power to change a life. We’ve built a brand that’s dedicated to optimizing clinical outcomes while relentlessly improving economic outcomes for our customers.","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (3116 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
natus.com,Natus Medical Incorporated,-,http://www.natus.com,968,1001-5000,-,Privately Held,Medical Equipment Manufacturing,Middleton,Wisconsin,United States,"Natus Medical Incorporated (Natus) offers medical equipment, software, supplies and services for the diagnosis, monitoring, and treatment of impairments and disorders effecting the brain, neural pathways, and eight sensory nervous systems.  Our comprehensive product portfolio represents a heritage of innovation and leadership. Natus brands have been setting the standard for patient care for over eighty (80) years. Our products are trusted by medical professionals in university medical centers, h","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (968 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
cirtecmed.com,Cirtec Medical,-,http://www.cirtecmed.com,814,1001-5000,1987,Privately Held,Medical Equipment Manufacturing,Brooklyn Park,Minnesota,United States,"Whether you’re a startup or a leading Class II or III medical device manufacturer, Cirtec is here to help bring life-enhancing therapies to market – quickly and cost-effectively. Our product designers, engineers and manufacturing experts can help you succeed at any or every stage of the product development cycle, including design, development, prototyping, pilot and clinical build, manufacturing and finished device assembly.  Cirtec brings nearly 40 years of experience in developing medical devi","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (814 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
glaukos.com,Glaukos Corporation,-,http://www.glaukos.com/,1093,1001-5000,1998,Public Company,Medical Equipment Manufacturing,Aliso Viejo,California,United States,"At Glaukos, our focus is to develop and lead the global ophthalmic market with novel therapies for the treatment of glaucoma, corneal disorders, and retinal diseases—therapies that advance the existing standard of care and enrich the lives and treatment alternatives for patients worldwide.","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1093 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
mimedx.com,MiMedx,-,http://www.mimedx.com,805,501-1000,2008,Public Company,Medical Equipment Manufacturing,Marietta,Georgia,United States,"MIMEDX is a pioneer and leader in the field of placental tissue. With more than a decade of helping clinicians manage chronic and hard-to-heal wounds, MIMEDX is dedicated to providing a leading portfolio of products for applications in the wound care, burn, and surgical settings of healthcare. The Company's vision is to be the leading global provider of healing solutions through relentless innovation to restore quality of life.","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (805 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
freudenbergmedical.com,Freudenberg Medical,-,http://www.freudenbergmedical.com,1132,1001-5000,1849,Privately Held,Medical Equipment Manufacturing,Beverly,Massachusetts,United States,"Your medical device in safe hands.  Freudenberg Medical is a trusted strategic CDMO partner to medical device and pharmaceutical companies, committed to delivering high-quality medical devices, precision components, and custom tubing. We prioritize our customers’ success every step of the way – from ideation to market launch and volume production.   With over 2,900 associates across 12 global manufacturing sites in key MedTech hubs, we are where you need us. Leverage our extensive range of verti","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1132 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
aesculapusa.com,Aesculap (US),-,https://www.aesculapusa.com/,924,501-1000,-,Privately Held,Medical Equipment Manufacturing,Center Valley,Pennsylvania,United States,"Aesculap, Inc., a B. Braun company, founded in 1867 in Tuttlingen, Germany, is the world’s largest and one of the most respected manufacturers of surgical instruments, medical devices and sterilization container systems. Aesculap is a leading privately-owned manufacturing company, passionately committed to providing high-quality, innovative products and services to all surgical disciplines, including Neurosurgery, Microsurgery, ENT, Plastic and Reconstructive, Thoracic, Micro-vascular, Cardiovas","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (924 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
werfen.com,Werfen North America,-,http://www.werfen.com/na,1928,1001-5000,1959,Privately Held,Medical Equipment Manufacturing,Bedford,Massachusetts,United States,"Werfen is a growing, family-owned, innovative company founded in 1966 in Barcelona, Spain.  We are a worldwide leader in specialized diagnostics in the areas of Hemostasis, Acute Care Diagnostics, Transfusion, Autoimmunity, and Transplant.  We operate directly in 30 countries, and in more than 100 territories through distributors. Our Headquarters are in Barcelona, Spain and our Technology Centers are located in the United States and Europe. Worldwide sales exceeded €2.2 billion in 2024, and our","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (1928 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
drivemedical.com,Drive DeVilbiss Healthcare,-,https://www.drivemedical.com/,866,1001-5000,2000,Privately Held,Medical Equipment Manufacturing,Port Washington,New York,United States,"Drive DeVilbiss Healthcare is now Drive Medical! Follow the new Drive Medical LinkedIn page for updates, products, and industry news & insights: https://lnkd.in/ePPSkCBP  Drive Medical is committed to delivering superior products to the market, with a strong emphasis on innovation and design. Our mission is to lead the world with innovative healthcare solutions that enhance lives.   Our family of brands includes M+D® by Drive®, DeVilbiss® by Drive®, Hurrycane® by Drive®, and Inspired by Drive®. ","New Leader, Old Portfolio","Matched filter for multi-brand medtech/diagnostics companies at $250M-$3B scale proxy (866 employees, industry='Medical Equipment Manufacturing'). Segment additionally requires 3+ distinct product brands into overlapping call points AND a leadership role change 30-75 days ago — neither the brand-count nor the recent-hire trigger is verified by this firmographic pull; both must be checked per company (LinkedIn role-change date, brand portfolio) before outreach."
