3D Model,Group,Exhibitor Name,Website,Total Revenue,Industry,Products,ICP
Small like Caplugs,"Shop Support, Components & Consumables",Brady,bradyid.com,$1.3B (FY2024),Identification solutions,"Industrial labels, printers, safety signage, and tracking",Yes
Small like Caplugs,"Shop Support, Components & Consumables",CAPLUGS,caplugs.com,$200M-$400M (est.),Protective packaging,"Plastic caps, plugs, netting, and part protection",Yes
Small like Caplugs,"Shop Support, Components & Consumables",CEIA USA Induction Heating Systems,ceia.net,$100M-$300M (est.),Induction heating,Induction heating generators and brazing systems,Yes
Small like Caplugs,"Shop Support, Components & Consumables","Dell, Inc.",dell.com,$95.6B (FY2025),Computer hardware,"Workstations, servers, PCs, and IT infrastructure",Yes
Small like Caplugs,"Shop Support, Components & Consumables",Donaldson,donaldson.com,$3.6B (FY2024),Filtration,Industrial dust collection and filtration systems,Yes
Small like Caplugs,"Shop Support, Components & Consumables",ERIEZ,eriez.com,$300M-$500M (est.),Magnetic separation equipment,"Magnetic separators, metal detectors, vibratory feeders",Yes
Small like Caplugs,"Shop Support, Components & Consumables","Euchner USA, Inc.",euchner.com,$200M-$300M (est.),Industrial safety,"Safety switches, interlocks, access management systems",Yes
Small like Caplugs,"Shop Support, Components & Consumables",HIFI FILTER FRANCE,hifi-filter.com,$100M-$300M (est.),Filtration,"Industrial filters for hydraulics, air, and fluids",Yes
Small like Caplugs,"Shop Support, Components & Consumables",igus Inc.,igus.com,"~$1.2B (2023, parent)",Motion plastics components,"Polymer bearings, energy chains, cables, linear guides",Yes
Small like Caplugs,"Shop Support, Components & Consumables",Infinite Electronics,infiniteelectronics.com,$500M-$1B (est.),Electronic components,"RF, wired/wireless connectivity components and assemblies",Yes
Small like Caplugs,"Shop Support, Components & Consumables",Komline,komline.com,$100M-$500M (est.),Separation equipment,"Filtration, drying, and separation equipment",Yes
Small like Caplugs,"Shop Support, Components & Consumables",LUBE USA,lubeusa.com,"$200M (parent, est.)",Lubrication systems,Centralized lubrication systems for machinery,Yes
Small like Caplugs,"Shop Support, Components & Consumables",LUTZE Inc.,lutze.com,"$100M-$200M (parent, est.)",Industrial cables,"Industrial cables, connectivity, control cabinet solutions",Yes
Small like Caplugs,"Shop Support, Components & Consumables",Maddox Industrial Transformer,maddox.com,$100M-$300M (est.),Electrical equipment,"Industrial transformers, sales and rentals",Yes
Small like Caplugs,"Shop Support, Components & Consumables","MANN+HUMMEL USA, INC.",mann-hummel.com,"$5B (parent, 2024)",Filtration,"Air, liquid, and industrial filtration products",Yes
Small like Caplugs,"Shop Support, Components & Consumables",MAX USA COPR.,maxusacorp.com,"$600M (parent, est.)",Industrial tools,"Rebar tying tools, nailers, staplers",Yes
Small like Caplugs,"Shop Support, Components & Consumables",Monolithic Power Systems,monolithicpower.com,$2.2B (2024),Semiconductors,Power management ICs and motor drive solutions,Yes
Small like Caplugs,"Shop Support, Components & Consumables",Orion Machinery,orionkikai.co.jp,$100M-$500M (est.),Industrial equipment,"Precision chillers, vacuum pumps, and dryers",Yes
Small like Caplugs,"Shop Support, Components & Consumables",RIX North America,rix.co.jp,$300M-$500M (est.),Industrial equipment,"Rotary joints, pumps, and fluid transfer equipment",Yes
Small like Caplugs,"Shop Support, Components & Consumables",SECO/WARWICK USA,secowarwick.com,$150M-$250M (est.),Heat treatment equipment,Industrial furnaces and vacuum heat treatment systems,Yes
Small like Caplugs,"Shop Support, Components & Consumables",Smalley,smalley.com,$100M-$200M (est.),Engineered components,Wave springs and retaining rings,Yes
Small like Caplugs,"Shop Support, Components & Consumables",Trexon,trexon.com,$100M-$300M (est.),Cables and connectors,"Specialty cables, connectors, interconnect solutions",Yes
Small like Caplugs,"Shop Support, Components & Consumables",Umbragroup S.p.A.,umbragroup.com,$250M-$300M (est.),Aerospace/mechatronic components,Ball screws and electromechanical actuators for aerospace and industry,Yes
,"Shop Support, Components & Consumables","Beckett Packaging, a Division of MOCAP",mocap.com,$50M-$100M (est.),Protective packaging,"Protective caps, plugs, and packaging for machined parts",Near-ICP
,"Shop Support, Components & Consumables",Blast Cleaning Technologies,bct-us.com,$50M-$100M (est.),Surface preparation,Shot blast equipment and wheel blast systems,Near-ICP
,"Shop Support, Components & Consumables",Cleaning Technologies Group,ctgclean.com,$50M-$100M (est.),Parts cleaning,"Aqueous and ultrasonic parts cleaning systems (Ransohoff, Blackstone-NEY)",Near-ICP
,"Shop Support, Components & Consumables",Coral USA Corp.,coral.eu,$50M-$100M (est.),Industrial air filtration,Fume and dust extraction systems for industrial plants,Near-ICP
,"Shop Support, Components & Consumables","Dynatect Manufacturing, Inc.",dynatect.com,$50M-$100M (est.),Machine protection,"Bellows, way covers, cable carriers, and roll-up doors",Near-ICP
,"Shop Support, Components & Consumables",icotek corp,icotek.com,$50M-$100M (est.),Cable management,"Cable entry systems, glands, and EMC solutions",Near-ICP
,"Shop Support, Components & Consumables","J.W. Winco, Inc.",jwwinco.com,$50M-$100M (est.),Standard machine components,"Handles, knobs, clamps, standard machine parts",Near-ICP
,"Shop Support, Components & Consumables",KEMPER North America,kemper-america.com,"$50M-$100M (est., parent)",Fume extraction,Weld fume extraction and air filtration systems,Near-ICP
,"Shop Support, Components & Consumables",Nordfab Ducting,nordfab.com,$50M-$100M (est.),Air handling,Quick-fit clamp-together ducting for dust collection,Near-ICP
,"Shop Support, Components & Consumables",Radyne Corporation,radyne.com,$50M-$100M (est.),Induction heating,Induction heating and brazing equipment,Near-ICP
,"Shop Support, Components & Consumables",Rousseau Metal Inc.,rousseaumetal.com,$50M-$100M (est.),Industrial storage,"Modular drawers, cabinets, and workstations",Near-ICP
,"Shop Support, Components & Consumables",Saginaw Control & Engineering,saginawcontrol.com,$50M-$100M (est.),Electrical enclosures,"Industrial electrical enclosures, cabinets, and climate control accessories",Near-ICP
,"Shop Support, Components & Consumables","Thermal Care, Inc.",thermalcare.com,$50M-$100M (est.),Process cooling equipment,Industrial chillers and cooling systems,Near-ICP
,"Shop Support, Components & Consumables",WERMA USA Inc.,werma.com,$50M-$100M (est.),Signaling devices,"Signal towers, andon lights, machine status monitoring",Near-ICP
